1787547681719853000,brokercrash-kafka-1,62.53%,309.2MiB / 7.817GiB
1787547686023603000,brokercrash-kafka-1,48.66%,316.1MiB / 7.817GiB
1787547690834564000,brokercrash-kafka-1,25.79%,322MiB / 7.817GiB
1787547695038325000,brokercrash-kafka-1,22.51%,329.6MiB / 7.817GiB
1787547699257196000,brokercrash-kafka-1,25.53%,350.1MiB / 7.817GiB
1787547703510506000,brokercrash-kafka-1,17.37%,385.5MiB / 7.817GiB
1787547707701325000,brokercrash-kafka-1,19.15%,404.7MiB / 7.817GiB
1787547711956244000,brokercrash-kafka-1,1.53%,403MiB / 7.817GiB
1787547716149110000,brokercrash-kafka-1,1.31%,401MiB / 7.817GiB
1787547720339589000,brokercrash-kafka-1,1.41%,401.1MiB / 7.817GiB
