1787548023111538000,brokercrash-kafka-1,50.01%,347.8MiB / 7.817GiB
1787548027421932000,brokercrash-kafka-1,51.44%,360.6MiB / 7.817GiB
1787548032089876000,brokercrash-kafka-1,46.76%,375.9MiB / 7.817GiB
1787548036482444000,brokercrash-kafka-1,135.92%,363.4MiB / 7.817GiB
1787548040993721000,brokercrash-kafka-1,30.14%,371.8MiB / 7.817GiB
1787548045300909000,brokercrash-kafka-1,19.92%,370.8MiB / 7.817GiB
1787548049697606000,brokercrash-kafka-1,25.60%,385.3MiB / 7.817GiB
1787548053997299000,brokercrash-kafka-1,1.42%,384.9MiB / 7.817GiB
1787548058202825000,brokercrash-kafka-1,1.33%,385.3MiB / 7.817GiB
1787548062424542000,brokercrash-kafka-1,1.18%,385MiB / 7.817GiB
1787548066735899000,brokercrash-kafka-1,5.72%,387.1MiB / 7.817GiB
1787548070942054000,brokercrash-kafka-1,3.00%,387.1MiB / 7.817GiB
1787548075143842000,brokercrash-kafka-1,1.88%,387.2MiB / 7.817GiB
1787548079346414000,brokercrash-kafka-1,1.31%,387.2MiB / 7.817GiB
1787548083563337000,brokercrash-kafka-1,1.53%,387.8MiB / 7.817GiB
1787548087755319000,brokercrash-kafka-1,1.74%,388.3MiB / 7.817GiB
1787548091949971000,brokercrash-kafka-1,1.15%,380MiB / 7.817GiB
1787548096150419000,brokercrash-kafka-1,2.46%,380.3MiB / 7.817GiB
1787548100399390000,brokercrash-kafka-1,1.46%,383MiB / 7.817GiB
1787548104611357000,brokercrash-kafka-1,2.72%,381.4MiB / 7.817GiB
1787548108827038000,brokercrash-kafka-1,1.74%,382.7MiB / 7.817GiB
1787548113117574000,brokercrash-kafka-1,1.47%,382.3MiB / 7.817GiB
